Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-04-16,16833150693,8766710365,35315439111,1022481382,2152278186,1526957904,2119497366,468473785,584019179,312257705,69101265676,
2022-04-17,19087633042,10463091281,40964576376,1088306780,2678573075,1350930297,2379796206,528371933,636442285,340111263,79517832538,
2022-04-18,33705182072,18629381299,68691204704,1925668122,4013104508,2134418883,4794867810,1105222191,909718484,726096353,136634864426,
2022-04-19,25303206547,14156035096,57975539645,1854452731,3629844066,1834225828,4295543759,777142382,679511647,630841720,111136343421,846777100.0
2022-04-20,27819532341,15547362265,66021482830,2035166767,4170091755,1798898557,4801371988,828312845,1068542289,648103958,124738865595,1212543400.0
2022-04-21,35372786395,20783591093,77014328066,2190281843,4474827385,1990297103,4791525318,871111347,740549793,652619938,148881918281,764750300.0
2022-04-22,28011716745,16782795477,60728483573,1895749713,3882678798,1881203798,4330053781,725788912,505251263,1281222594,120024944654,694792900.0
2022-04-23,16138021249,9116955609,38357597167,1354484386,2324060694,1332520641,2556278555,447997661,349740069,549446712,72527102743,
2022-04-24,17964398167,9696829579,39519383045,1222468479,2649077080,1108217932,2615953094,487629549,436620221,420960265,76121537411,
2022-04-25,35445730570,22332690614,73256647805,1910707893,4720363070,2377291271,4981854372,1139869029,5177823685,713007261,152055985570,755160100.0
2022-04-26,34569088416,19052045399,69068297656,1671963898,4221564998,2160649427,4937535207,1020049782,4529010503,616935925,141847141211,847986700.0
2022-04-27,30981015184,17419284041,61043327313,1512587369,3849488651,1722422062,4058882381,927312593,1765370972,530689528,123810380094,958503900.0
2022-04-28,33903704907,18443524633,68392086439,2116381172,4611631886,1546067106,5111536143,836357358,1105137506,522202999,136588630149,917004000.0
2022-04-29,30882994649,18771041399,67899674445,1928209754,4076411418,1962197662,5410035667,874797260,1555397213,666945892,134027705359,983441700.0
2022-04-30,23895713731,13520941867,57266339850,1467605770,3824993132,1649221930,4034171469,868001173,916612071,627531506,108071132499,
2022-05-01,27002760110,15332730152,61420362842,1553846706,3757508036,1657999135,4076247218,928448231,991710768,764724203,117486337401,
2022-05-02,32922642426,18609741545,63751566652,1388077917,3902762410,1687184077,4091207060,805325174,769062732,719881928,128647451921,
2022-05-03,27326943244,13026093219,52924035065,1295877765,3691702287,1460418466,3528620566,649650331,555706527,541950449,105000997919,1342876200.0
2022-05-04,36754404490,18186749944,72222517203,1714496792,4446134900,1959359438,4710352627,1516023155,838050627,742971942,143091061118,699267900.0
2022-05-05,43106256317,22642925048,85679638685,2389487319,5202645491,2183469244,5751936759,1802128590,1258066467,759187845,170775741765,931632400.0
2022-05-06,37795577489,21027599270,81327879764,1834770716,5376284197,2003273389,4736115059,1312283636,839005988,704670768,156957460276,1089227300.0
2022-05-07,24375896406,13369276367,57202594793,1527960119,3623126811,1250412025,7651705097,801558914,746383231,618880005,111167793768,
2022-05-08,36763041910,20802269935,77900163502,1875845651,5432001418,1505054300,10452215427,1085127147,728953161,571608859,157116281310,
2022-05-09,63355494961,36333567678,120710294040,2943374129,8493986111,3297478002,8100176556,2306123277,1353326367,992729889,247886551010,803955700.0
2022-05-10,59811038817,38202099639,128692083965,3210603809,8611992228,3455777036,8730362344,2372592084,1723066438,1574312271,256383928631,919988500.0
